0	1.987179487335863e-08
1	1.987179487179913e-08
2	1.9871833272999454e-08
3	1.9871794871977827e-08
4	1.9871794874799863e-08
5	1.987179495437214e-08
6	1.9871794871795146e-08
7	1.9871794871795e-08
8	1.987179487179487e-08
9	1.9871794871794905e-08
10	1.9871794879433352e-08
11	1.9871794871796195e-08
12	1.9871794871796384e-08
13	1.987179487179489e-08
14	1.987179487224873e-08
15	1.9871794871996144e-08
16	1.987179487179487e-08
17	1.987179487179487e-08
18	1.987179487179487e-08
19	1.9871799657880994e-08
20	1.987179487179487e-08
21	1.987179487179487e-08
22	1.9871794871794888e-08
23	1.9871794871809863e-08
24	1.9871794871795596e-08
25	1.98717948717949e-08
26	1.9871794887890456e-08
27	1.987179487179487e-08
28	1.987179487179514e-08
29	1.9871794876595017e-08
30	1.9871794871795183e-08
31	1.9871794871799292e-08
32	1.9871794871800027e-08
33	1.987179487179741e-08
34	1.987179487179487e-08
35	1.9871794871794875e-08
36	1.987179487179491e-08
37	1.987179487179487e-08
38	1.987179487179488e-08
39	1.9871794871794888e-08
40	1.987179487179488e-08
41	1.987179487220151e-08
42	1.9871794871805056e-08
43	1.9871794871795087e-08
44	1.987179487179492e-08
45	1.9871794871794875e-08
46	1.987179487184335e-08
47	1.9871794875891067e-08
48	1.987179487181451e-08
49	1.9871794871796248e-08
