0	[7605 1170 1014 7605 1014 7605 7605 1014]
1	[663 741 741 741 741 663 741 741]
2	[273 117 117 117 117 273 273 117]
3	[ 8151  8151 11115  8151  8151 11115  6435  6435]
4	[429 312 429 312 429 429 429 312]
5	[3705 3705 3705 3705 3705 1755 3705 6669]
6	[663 663 468 468 468 663 468 663]
7	[ 78  78 117  78 117 117 117 117]
8	[195 117 117 195 234 234 234 195]
9	[ 5460  6552  2340 16380 16380 10920  4095  5460]
10	[1521 1014 1014 1170 1521 1014 1170 1170]
11	[117 117 195 195 234 195 234 234]
12	[32760  4368 13104 21840  5460  4095  4680 21840]
13	[117 195 117 234 195 234 195 234]
14	[195 780 234 195 780 195 234 780]
15	[663 663 312 312 663 312 312 312]
16	[195 195 117 234 234 234 117 195]
17	[117 234 195 117 195 234 195 195]
18	[ 780 2535 1014 1014 2535 2535  780 2535]
19	[ 3042  3042  8112  1872 12168  8112  1521  3042]
20	[195 117 117 234 195 234 195 234]
21	[195 195 117 234 195 195 117 195]
22	[117 195 117 234 195 195 117 234]
23	[273 273 702 273 702 702 702 702]
24	[234 195 234 117 195 234 117 195]
25	[234 234 234 195 117 117 234 195]
26	[234 195 195 234 234 117 234 234]
27	[ 234  234  312  234 1404  156  234  351]
28	[195 234 195 234 117 117 195 234]
29	[ 78 390 390 117 390 117 390 117]
30	[195 195 117 117 234 117 234 234]
31	[13260 59670 29835 47736 29835 14040 59670 59670]
32	[117 234 234 234 195 195 117 195]
33	[195 195 117 195 234 234 234 234]
34	[ 78  78  78  78 117  78 117 117]
35	[ 468  468  819 2184  819  819  819  819]
36	[1638  468  273  273  546 1638 1638 1638]
37	[585 390 390 390 468 468 585 390]
38	[390 390 390 390 390 351 390 351]
39	[663 663 663 234 663 663 234 234]
40	[117  78 117  78 117  78  78  78]
41	[624 195 624 390 390 390 390 624]
42	[6084 1014 1014 6084 4563 1404 6084 1404]
43	[ 78 585  78  78  78 585 585  78]
44	[273 273 702 702 273 273 273 273]
45	[117 117 117 117  78  78 117 117]
46	[117 117  78 117  78 117 117  78]
47	[ 78 117  78  78  78 117 117  78]
48	[156 156 195 120 195 195 120 120]
49	[5577 5070 4290 5070 5577 5577 5577 5070]
