(13.384848952724479, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477288673310257e-05, 0.00010990913947950957, 2.7477268606975798e-05, 2.7477277420640555e-05])
(13.384845499909465, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.747726756649401e-05, 0.00010990917634745421, 2.747726709708084e-05, 2.7477279751096723e-05])
(13.384846840158417, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477271983935114e-05, 0.00010990919451297102, 2.7477275217722474e-05, 2.747728047130711e-05])
(13.369634740359023, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.747728940103499e-05, 0.0001099092020696531, 2.7477270382350886e-05, 2.747728547806407e-05])
(13.384848891566511, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477303217495025e-05, 0.00010990921896127776, 2.7477285929158915e-05, 2.7477279693595485e-05])
(13.369633566923769, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477308189567102e-05, 0.00010990925523779536, 2.747728933317091e-05, 2.7477262273471653e-05])
(13.36962573457611, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.747732170421047e-05, 0.00010990919981893765, 2.7477288988806062e-05, 2.7477266362544574e-05])
(13.384828277164123, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477334211205438e-05, 0.00010990914620537218, 2.7477284910276698e-05, 2.74772737268695e-05])
(13.384826465831905, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477338127065096e-05, 0.0001099091509896555, 2.7477286912687037e-05, 2.7477284168035604e-05])
(13.38483565366817, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477334208638172e-05, 0.00010990915684900334, 2.7477276229347536e-05, 2.7477288055745145e-05])
(13.384834751253294, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477331797156236e-05, 0.00010990914432445538, 2.7477278479132957e-05, 2.747728758424342e-05])
(13.384814424371733, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477342386046806e-05, 0.00010990912853151488, 2.747729356052697e-05, 2.7477280483041664e-05])
(13.369596528258763, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477347948433515e-05, 0.00010990913793232726, 2.7477294501064175e-05, 2.7477279878134687e-05])
(13.384811569596902, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477339176237292e-05, 0.00010990913644141065, 2.747730340644057e-05, 2.7477281596462106e-05])
(13.38481047944417, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477332670408214e-05, 0.00010990908715357587, 2.7477303943600294e-05, 2.7477291114901457e-05])
(13.384812964312738, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7477323369411283e-05, 0.00010990909442548771, 2.7477310069813725e-05, 2.7477277900937798e-05])
