0	"[0.79686716 0.27283256 0.13577739 0.14388796 0.14181805 0.17087033
 0.26285204 0.26992749 0.64669233]"
1	"[0.79353381 0.21800375 0.06757233 0.04510247 0.08540597 0.17722976
 0.15123175 0.08066421 0.39058259]"
2	"[0.80456196 0.69435958 0.61573121 0.12299392 0.15253743 0.13542588
 0.02600195 0.03961819 0.34799487]"
3	"[0.76590416 0.27326487 0.11962299 0.07640209 0.10365729 0.09082756
 0.08140575 0.12919138 0.54268548]"
4	"[0.42459207 0.04521526 0.03320257 0.12284955 0.15637612 0.3947749
 0.53848081 0.06168654 0.25349017]"
5	"[0.85487707 0.24344193 0.06383048 0.05995223 0.07480364 0.06109412
 0.08632972 0.26682569 0.74364052]"
6	"[0.38104451 0.27098005 0.21722342 0.04852154 0.04323138 0.23463828
 0.83491023 0.84195201 0.79309999]"
7	"[0.76547286 0.54124234 0.473828   0.21738335 0.14910514 0.29140766
 0.47948837 0.50618199 0.82721221]"
8	"[0.62572195 0.17588798 0.14773928 0.14434767 0.15008224 0.16785893
 0.33130015 0.72770149 0.93612713]"
9	"[0.32320462 0.06428172 0.08565255 0.10874412 0.09855814 0.15584616
 0.55496416 0.82910857 0.93037009]"
10	"[0.6799092  0.19826806 0.1457463  0.16262551 0.28718976 0.27266811
 0.18235109 0.43446074 0.89731927]"
11	"[0.30363068 0.07011629 0.09984102 0.2120667  0.51776581 0.11507415
 0.0396873  0.17984561 0.69607106]"
12	"[0.66908884 0.39939665 0.50952034 0.59833037 0.53001957 0.27444253
 0.19627783 0.46426461 0.91356474]"
13	"[0.90812676 0.78822446 0.82125635 0.78235327 0.60176762 0.44386302
 0.42332097 0.56134156 0.78945019]"
14	"[0.27660624 0.02297074 0.52727225 0.34905953 0.71426195 0.55354587
 0.34213336 0.72390984 0.66813071]"
15	"[0.32632919 0.28907218 0.46922156 0.07558306 0.06385899 0.03375284
 0.02102143 0.07751234 0.49314079]"
16	"[0.78871075 0.67502086 0.13708029 0.72204608 0.71861145 0.24712435
 0.97462523 0.27476164 0.68108842]"
17	"[0.32927136 0.02681846 0.0418206  0.25924722 0.49269627 0.08357883
 0.08648454 0.520949   0.81406888]"
18	"[0.52244859 0.27626005 0.13604988 0.17506482 0.37935261 0.16293796
 0.06802706 0.2332011  0.8913372 ]"
19	"[0.82003801 0.21478548 0.08357028 0.11335258 0.17732022 0.20650744
 0.19303284 0.21981818 0.62929706]"
20	"[0.82740799 0.69108605 0.66319497 0.4831252  0.49738063 0.51349008
 0.42319792 0.61787711 0.89889112]"
21	"[0.69222293 0.27803684 0.26073355 0.21180279 0.14086015 0.11256458
 0.13422863 0.11482752 0.4325664 ]"
22	"[0.38002763 0.05428789 0.06581823 0.0656404  0.60174786 0.437089
 0.11926601 0.18496703 0.42973946]"
23	"[0.26311781 0.09111971 0.05410974 0.1301478  0.17120175 0.08970889
 0.04583839 0.0800471  0.4859349 ]"
24	"[0.6668992  0.32016525 0.2118134  0.21148562 0.24534105 0.19855865
 0.24681991 0.35079529 0.69049336]"
25	"[0.89592673 0.42804332 0.81224072 0.31919267 0.83817303 0.31595589
 0.98896913 0.85840415 0.44432971]"
26	"[0.38743225 0.13820536 0.06491782 0.02930761 0.03394524 0.03400592
 0.07516954 0.11948177 0.47989829]"
27	"[0.8875594  0.28941086 0.09961001 0.05108478 0.04093942 0.19186005
 0.06423911 0.04871372 0.35177485]"
28	"[0.9931179  0.66919554 0.48831157 0.41849697 0.45243512 0.44315218
 0.5936124  0.91625097 0.9492167 ]"
29	"[0.65242638 0.15115139 0.1596586  0.1155962  0.0938252  0.10689779
 0.12294278 0.25381465 0.67413506]"
30	"[0.73937318 0.24723059 0.12310525 0.06632939 0.12822638 0.1793081
 0.14384422 0.24377264 0.66175104]"
31	"[0.38907199 0.06497594 0.12489122 0.3038798  0.20484542 0.0590357
 0.06535912 0.21283556 0.68815197]"
32	"[0.74491901 0.21166952 0.14793249 0.10582877 0.14179559 0.26216991
 0.15712312 0.18702155 0.65934249]"
33	"[0.79235212 0.14791292 0.11884326 0.13427323 0.13118528 0.19105354
 0.08736302 0.08707603 0.39912664]"
34	"[0.96971077 0.76436679 0.65352461 0.74444058 0.65761835 0.67759239
 0.7002319  0.69174214 0.87196482]"
35	"[0.77811045 0.42336969 0.25683234 0.11303951 0.12516411 0.08702768
 0.06114167 0.08821228 0.43234903]"
36	"[0.43664831 0.05909856 0.06303713 0.21317799 0.15616489 0.0557168
 0.24921481 0.40718311 0.56197025]"
37	"[0.8338555  0.42391494 0.36526791 0.45734915 0.51192369 0.54497001
 0.58318705 0.69425582 0.87232688]"
38	"[0.74064642 0.42522261 0.47211386 0.32450569 0.30091443 0.40335986
 0.41944398 0.60656264 0.8282632 ]"
39	"[0.69234308 0.14980951 0.34772257 0.60275541 0.02681514 0.7611712
 0.91778927 0.12479534 0.92759391]"
40	"[0.67012595 0.18767211 0.11227706 0.18306797 0.14984482 0.09398175
 0.153052   0.25512317 0.61102811]"
41	"[0.42537147 0.00824969 0.05361496 0.98622019 0.30716891 0.02364077
 0.10260622 0.12708054 0.37025873]"
42	"[0.95877448 0.74133771 0.35865126 0.18340581 0.30712525 0.29630555
 0.20116587 0.43245812 0.91445928]"
43	"[0.09475884 0.13206136 0.50310723 0.5484822  0.67882727 0.43800019
 0.47691325 0.18966643 0.82586308]"
44	"[0.66329278 0.16767066 0.09158299 0.15255356 0.13914627 0.14014464
 0.14143862 0.18507871 0.77248839]"
45	"[0.83201657 0.54047484 0.65111862 0.71651206 0.47766421 0.26995462
 0.45494683 0.60160691 0.73407074]"
46	"[0.76279266 0.28577914 0.13322019 0.08531598 0.15448601 0.08368944
 0.08308513 0.07998729 0.51848666]"
47	"[0.34191289 0.06241049 0.06367769 0.09124795 0.17958316 0.11107538
 0.14330285 0.45538944 0.70451331]"
48	"[0.6321585  0.13850599 0.0848491  0.04349373 0.03827709 0.08616001
 0.99424695 0.82512805 0.50113281]"
49	"[0.50582932 0.12325828 0.07249946 0.09015006 0.11699355 0.06390217
 0.10529089 0.31317067 0.80375156]"
50	"[0.48860395 0.0957597  0.18958278 0.33356916 0.1553245  0.16152238
 0.34811553 0.52720666 0.86171366]"
51	"[0.5500705  0.20464625 0.11676458 0.06654968 0.15972583 0.03994058
 0.05483082 0.35274917 0.52249269]"
52	"[0.79518512 0.23055263 0.10903207 0.09189581 0.08155692 0.16530454
 0.43247972 0.1938952  0.29433913]"
53	"[0.9343516  0.76613452 0.73919525 0.74158431 0.67415557 0.5698891
 0.66096192 0.82299378 0.92000651]"
54	"[0.93565513 0.58963332 0.35136125 0.4122133  0.60312161 0.64276078
 0.51219855 0.51583746 0.7832636 ]"
55	"[0.13799638 0.17291351 0.61767841 0.07174712 0.0601365  0.06813999
 0.08244137 0.15669608 0.3677566 ]"
56	"[0.33422549 0.14206443 0.12035418 0.12046216 0.40742694 0.10018665
 0.02590243 0.05732961 0.58626918]"
57	"[0.87047814 0.66846466 0.45531405 0.46199212 0.50179857 0.49053456
 0.49987627 0.66349132 0.91242158]"
58	"[0.70633974 0.22718299 0.17457487 0.17188467 0.15222061 0.15371428
 0.16774728 0.23695017 0.64791382]"
59	"[0.34738567 0.07149192 0.04900268 0.12619339 0.68009037 0.70343922
 0.1723635  0.049641   0.37504171]"
60	"[0.74096283 0.18150462 0.88756824 0.95345066 0.35618412 0.2244321
 0.48100535 0.68390361 0.62010676]"
61	"[0.48735288 0.1368436  0.10296462 0.13982914 0.18400114 0.21651712
 0.29713932 0.41085982 0.83279605]"
62	"[0.96865394 0.86778398 0.5581713  0.322336   0.28668622 0.46960197
 0.47523589 0.44305907 0.88106578]"
63	"[0.96553533 0.52614543 0.44666835 0.36497711 0.34833351 0.36040381
 0.16486226 0.15200496 0.4979929 ]"
64	"[0.75704373 0.21778818 0.18330555 0.14916243 0.02039136 0.01194427
 0.01817081 0.02752533 0.60383821]"
65	"[0.98447911 0.53124073 0.31400499 0.61173405 0.37689142 0.13101251
 0.03381173 0.02962429 0.24840774]"
66	"[0.78912359 0.0913254  0.06556765 0.10582068 0.11780718 0.08487878
 0.06400652 0.15425026 0.44261417]"
67	"[0.07395865 0.06172587 0.67796853 0.28179257 0.63404507 0.53636971
 0.63969117 0.05556398 0.84375974]"
68	"[0.22234479 0.08111443 0.39971286 0.51701207 0.19227002 0.04015632
 0.054859   0.20293187 0.66397362]"
69	"[0.62933702 0.30071511 0.21744379 0.10729414 0.23611441 0.22173367
 0.08452803 0.17645368 0.66768843]"
70	"[0.7913428  0.25479903 0.10665381 0.05264132 0.09510882 0.12817235
 0.16913253 0.22904663 0.6109136 ]"
71	"[0.44082829 0.07113338 0.0508716  0.20713069 0.65844114 0.23280209
 0.04639616 0.03881781 0.31961455]"
72	"[0.34989186 0.07788384 0.06023083 0.26794685 0.60488826 0.2896559
 0.14114627 0.04992832 0.31294652]"
73	"[0.51901862 0.08278109 0.05861101 0.22831418 0.52678769 0.13476303
 0.03926217 0.04369098 0.27247658]"
74	"[0.66898471 0.21744282 0.14600516 0.11366345 0.08949034 0.10000866
 0.08351644 0.14196914 0.46611031]"
75	"[0.30818915 0.04989193 0.44833431 0.89251802 0.34488278 0.00880609
 0.05276006 0.07494215 0.57174568]"
76	"[0.71608008 0.29468012 0.41028788 0.44052597 0.42190035 0.40849389
 0.23805671 0.2732486  0.65327314]"
77	"[0.42871851 0.25312961 0.1530044  0.02797371 0.15221284 0.61708356
 0.54901282 0.25274726 0.45774921]"
78	"[0.63184819 0.11001749 0.0492042  0.03856694 0.08204999 0.43379275
 0.33650388 0.16563898 0.57588374]"
79	"[0.96179327 0.43904789 0.20762133 0.13593316 0.09889174 0.25974901
 0.26841676 0.11379336 0.38692952]"
80	"[0.39190735 0.02678528 0.12133795 0.81185547 0.5669703  0.50781179
 0.22325388 0.59815506 0.3229194 ]"
81	"[0.89551221 0.54821292 0.20800756 0.82932301 0.24801607 0.43790329
 0.13507994 0.93223359 0.65997178]"
82	"[0.92925809 0.68705972 0.51978212 0.49451089 0.52920328 0.58676271
 0.7015997  0.76130942 0.91016306]"
