(7.21658205017504, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.749321876480373e-05, 0.00010995766132776413, 2.7473152430345462e-05, 2.7481966095102897e-05])
(7.15979566501411, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7472099711777918e-05, 0.00010999454554858033, 2.7471642761574622e-05, 2.7484296948936394e-05])
(7.307985059000811, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.747651632206175e-05, 0.0001100127251749942, 2.74797617409913e-05, 2.7485017343251315e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.749393294294567e-05, 0.00011002028897521594, 2.7474925931831935e-05, 2.7490025509981537e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.750775777188321e-05, 0.0001100371976724896, 2.7490471413355363e-05, 2.7484238359386157e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.751273535477289e-05, 0.00011007351643060698, 2.749387705882916e-05, 2.7466813823878307e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.752626742289903e-05, 0.00011001801474850923, 2.749353248608987e-05, 2.7470901341896136e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7538796696743573e-05, 0.000109964348103267, 2.7489451545660055e-05, 2.7478263960898824e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7542721315564158e-05, 0.00010996913478949546, 2.749145484264313e-05, 2.7488705503283233e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7538793564619605e-05, 0.0001099749973351175, 2.7480765994561777e-05, 2.7492594828807734e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7536376688850826e-05, 0.00010996246528438268, 2.7483016065716714e-05, 2.749212306442575e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7546988333447784e-05, 0.00010994666468214959, 2.749810060890432e-05, 2.7485018028601376e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.755256481896226e-05, 0.00010995606870509367, 2.749904185832707e-05, 2.748441295128327e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.754376860961025e-05, 0.00010995457715187832, 2.7507954283028726e-05, 2.7486131724777317e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7537247051986532e-05, 0.00010990526893959078, 2.7508492041953363e-05, 2.7495653229912575e-05])
(6.903754895205168, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.752792577421423e-05, 0.00010991254059881509, 2.7514625208940613e-05, 2.7482430435822234e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7527706992339048e-05, 0.00010994018343095324, 2.7502314220373976e-05, 2.7479068453783548e-05])
(6.925010446625599, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.752790885532954e-05, 0.00010991020167980874, 2.7491415927131432e-05, 2.748676144227089e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7523578620532104e-05, 0.0001098756563512682, 2.7489711516972335e-05, 2.7504510570536604e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7522593220943558e-05, 0.00010989536591267721, 2.748756078367572e-05, 2.749200765952833e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7525385502230152e-05, 0.00010993411596886068, 2.750980664458452e-05, 2.749048109279711e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.752352666395142e-05, 0.00010996252434389045, 2.7514017049060715e-05, 2.7471039774055165e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7526294833642178e-05, 0.00010996020934228045, 2.7517154246354558e-05, 2.7472129780017473e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7551025077077975e-05, 0.00010997091568819005, 2.7522674503282605e-05, 2.746555188607247e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.755362181583234e-05, 0.00010992365146058858, 2.753819458088282e-05, 2.7465477929959906e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7553200148858267e-05, 0.00010990866816138801, 2.7524629627499707e-05, 2.746945438256687e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.754936015149547e-05, 0.00010990787550877339, 2.7506151672927345e-05, 2.7460366434932512e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.753864346367675e-05, 0.00010987938918360363, 2.749978591721226e-05, 2.7446623563220113e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7541185322227497e-05, 0.00010990535976118213, 2.748465963410989e-05, 2.7450560089458868e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.752047856652397e-05, 0.00010992808723990773, 2.7473685504766744e-05, 2.7448154730689577e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7510926251189978e-05, 0.0001099446165019948, 2.7489722457794785e-05, 2.745583431080232e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7521571989308483e-05, 0.00010990256608498041, 2.7486490249984205e-05, 2.7458385031420406e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7528187641953314e-05, 0.00010990494321685962, 2.7482662845157325e-05, 2.7455436198319968e-05])
(7.019299757342557, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.752570102138705e-05, 0.0001099195710989555, 2.748369062253373e-05, 2.7454787145502945e-05])
(0.0, [0.12395188629725941, 0.030807624452130217, 0.03493053701137464, 0.02301971078881386, 0.44123167392946], [2.7527616124375503e-05, 0.00010994750401665847, 2.7467297745489346e-05, 2.7455723310294134e-05])
