0	"[0.32212121 0.03428069 0.02743502 0.03336761 0.09937224 0.09234554
 0.35414293]"
1	"[0.28992716 0.03539334 0.03109131 0.03462609 0.068035   0.08451864
 0.42484069]"
2	"[0.25917936 0.03299429 0.03129286 0.03411428 0.07468469 0.07284985
 0.34669668]"
3	"[0.31249991 0.03889267 0.03224278 0.03496143 0.06756899 0.07684013
 0.39160286]"
4	"[0.26691281 0.03745756 0.03687352 0.03671664 0.07496201 0.06749643
 0.32645099]"
5	"[0.29724529 0.0381819  0.03349162 0.03594468 0.06715165 0.07298642
 0.38493017]"
6	"[0.26473578 0.03250782 0.03204077 0.04121942 0.09867174 0.10404162
 0.3989753 ]"
7	"[0.27606466 0.03812743 0.03719513 0.03637001 0.0774116  0.06632098
 0.31949768]"
8	"[0.24930968 0.0404584  0.04100247 0.03632384 0.05854778 0.09083996
 0.50123315]"
9	"[0.29960502 0.04248289 0.03977115 0.03699478 0.07248366 0.07042131
 0.35232359]"
