0	"[0.28417987 0.03289753 0.03286841 0.03782719 0.05989359 0.09599555
 0.50636571]"
1	"[0.12031863 0.04771161 0.02617887 0.02498372 0.09273662 0.05763929
 0.57162084]"
2	"[0.2616965  0.0362154  0.03683116 0.03442179 0.05646702 0.09976524
 0.53328811]"
3	"[0.29643556 0.03465474 0.03252096 0.03800118 0.05987877 0.0949167
 0.51092239]"
4	"[0.29857638 0.03431518 0.03278229 0.03878871 0.05919681 0.09157533
 0.50083868]"
5	"[0.22809431 0.03607633 0.03374594 0.03432547 0.05891563 0.10100141
 0.53869776]"
6	"[0.30014964 0.0343178  0.03102329 0.03953833 0.06084767 0.09526594
 0.52258579]"
7	"[0.29857159 0.03431527 0.03278226 0.03878855 0.05919697 0.09157559
 0.50084353]"
8	"[0.30750183 0.03586099 0.03306564 0.03859668 0.05870827 0.09114346
 0.50108979]"
9	"[0.24691245 0.03417346 0.03590303 0.03318801 0.05804953 0.10465841
 0.5249818 ]"
