0	"[0.39562158 0.05739278 0.06827441 0.09037501 0.16977237 0.12793433
 0.06839648 0.11790677 0.52399548]"
1	"[0.35055949 0.15304688 0.3377664  0.10934886 0.04011701 0.07331348
 0.13345098 0.07506801 0.31723346]"
2	"[0.50503041 0.28213461 0.41661895 0.37757659 0.4006707  0.36260727
 0.37985722 0.55585329 0.87936525]"
3	"[0.3105326  0.06049086 0.07241333 0.04978648 0.09411346 0.91232482
 0.75377788 0.03795057 0.18861156]"
4	"[0.38131697 0.33391187 0.60308199 0.82943629 0.14842704 0.203287
 0.60471239 0.86399841 0.91215097]"
5	"[0.72729156 0.31568832 0.20047784 0.22766244 0.26191871 0.28055273
 0.32629078 0.21113632 0.54759572]"
6	"[0.56851519 0.34889752 0.35224782 0.24469756 0.34168524 0.20479326
 0.24591286 0.45123522 0.76132423]"
7	"[0.84654142 0.52467056 0.32500323 0.21936068 0.29611168 0.52688796
 0.32408299 0.38907563 0.8281531 ]"
8	"[0.71758387 0.09872566 0.05051075 0.05298679 0.08549916 0.32111253
 0.0876766  0.10014373 0.76586836]"
9	"[0.20973889 0.05760478 0.20867135 0.26509134 0.09268093 0.07697536
 0.10435407 0.08626797 0.44195982]"
10	"[0.96053598 0.8776523  0.81105371 0.96225391 0.93260831 0.65583319
 0.40396066 0.4424087  0.79070018]"
11	"[0.9218754  0.65213781 0.71607743 0.64597891 0.35284018 0.10356871
 0.04227281 0.05819772 0.37561342]"
12	"[0.46796484 0.30276821 0.39034369 0.5062749  0.33547659 0.13403349
 0.08755941 0.28954259 0.89237873]"
13	"[0.73044849 0.37880637 0.64857635 0.45416114 0.10854308 0.569563
 0.49388873 0.46033562 0.49993457]"
14	"[0.82080715 0.38592378 0.26502989 0.22695308 0.25568521 0.32781087
 0.30327978 0.36925175 0.70010645]"
15	"[0.66767956 0.08471645 0.03871168 0.47597527 0.77966707 0.04290405
 0.02823042 0.04811406 0.211131  ]"
16	"[0.48226712 0.10424379 0.15915729 0.13548414 0.09031515 0.08412752
 0.10164727 0.14660638 0.49730793]"
17	"[0.38350853 0.328583   0.72957723 0.15785623 0.03370972 0.03914692
 0.06835371 0.20029798 0.91018112]"
18	"[0.71207863 0.08055653 0.03192706 0.08740651 0.21185564 0.09102175
 0.0800354  0.15744968 0.44659195]"
19	"[0.34364218 0.05582875 0.07507429 0.15504982 0.26348389 0.19425255
 0.07429978 0.0396892  0.28660274]"
20	"[0.77478216 0.48463791 0.18879409 0.15220199 0.38594783 0.44637008
 0.39718253 0.53056265 0.87259545]"
21	"[0.98894335 0.94328235 0.80877563 0.17952098 0.11219855 0.35301663
 0.38435704 0.5339641  0.87950138]"
22	"[0.24338039 0.06584347 0.06126676 0.05974035 0.0781194  0.05055611
 0.16389464 0.32906744 0.69121279]"
23	"[0.39850677 0.11947275 0.20609443 0.10881431 0.08859065 0.13154422
 0.07140963 0.05431387 0.38813094]"
24	"[0.05084353 0.57051734 0.44044191 0.75001046 0.4205415  0.61605275
 0.64382334 0.29961956 0.80037132]"
25	"[0.41941757 0.07676286 0.08810679 0.07456243 0.13261169 0.19938048
 0.06995624 0.0899935  0.55428591]"
26	"[0.41971127 0.14702584 0.11010037 0.19012186 0.28454661 0.12431196
 0.08841266 0.08236013 0.43509115]"
27	"[0.82621964 0.42455064 0.29918866 0.36185341 0.36111289 0.29295274
 0.38607585 0.56049134 0.85511301]"
28	"[0.61305349 0.14024649 0.11611401 0.18131636 0.17458075 0.06082008
 0.02458298 0.06603154 0.49057467]"
29	"[0.31805404 0.54426536 0.1381823  0.05444661 0.08275308 0.04137706
 0.2310873  0.03397747 0.05782088]"
30	"[0.33229745 0.05045648 0.03709503 0.0849647  0.69721471 0.53886295
 0.06541449 0.07417186 0.5271387 ]"
31	"[0.18859568 0.09200636 0.368457   0.0978598  0.08809567 0.13686864
 0.07980254 0.07302746 0.32985139]"
32	"[0.85704505 0.14464854 0.36607564 0.43070302 0.35998138 0.16097442
 0.5814912  0.3444242  0.7738723 ]"
33	"[0.41558128 0.06021151 0.04002084 0.04837298 0.0949677  0.66689617
 0.99498426 0.30276934 0.37449537]"
34	"[0.02173788 0.29365482 0.78185955 0.52917988 0.2395339  0.53039011
 0.67220444 0.68502259 0.78904685]"
35	"[0.66962289 0.54017568 0.54300762 0.08024948 0.03333291 0.05230205
 0.03017821 0.04586006 0.49663878]"
36	"[0.16664379 0.05517444 0.20761609 0.09767743 0.10045144 0.18172412
 0.18983332 0.1518643  0.32600778]"
37	"[0.77654429 0.29629402 0.64972023 0.52193455 0.04910983 0.37678315
 0.77102574 0.84097647 0.5280679 ]"
38	"[0.07613233 0.34141884 0.51763018 0.66602866 0.05385761 0.5443352
 0.30205031 0.563784   0.44039586]"
39	"[0.49714668 0.55085164 0.7354999  0.61864067 0.74850428 0.30058748
 0.40442447 0.49487051 0.57374583]"
40	"[0.28129879 0.11357315 0.17584412 0.11923823 0.30278846 0.26678836
 0.09498178 0.0304248  0.15205727]"
41	"[0.6983064  0.23960089 0.34376865 0.52762756 0.42937    0.41013221
 0.43842045 0.43067218 0.65895081]"
42	"[0.62090705 0.3550282  0.19820715 0.11162458 0.31411687 0.19250471
 0.21811675 0.24491162 0.42689371]"
43	"[0.30766031 0.03905029 0.04938011 0.1894074  0.31348605 0.18072535
 0.09249526 0.08820321 0.57395   ]"
44	"[0.96081507 0.51648107 0.44855988 0.46308782 0.28217352 0.21373296
 0.18439962 0.21333178 0.5677398 ]"
45	"[0.59523043 0.36864019 0.25951112 0.49604807 0.55733081 0.55759288
 0.62870374 0.75599743 0.92812894]"
46	"[0.34335201 0.05160695 0.09159945 0.3375363  0.41771939 0.08696664
 0.07312692 0.08071331 0.29223027]"
47	"[0.52283609 0.23640816 0.28465117 0.1212011  0.05045362 0.0461255
 0.05914842 0.11809583 0.61839277]"
48	"[0.38338887 0.10893509 0.15333553 0.11201573 0.14216965 0.18018771
 0.08718175 0.0644095  0.42312265]"
49	"[0.55321222 0.19150874 0.67054616 0.69673227 0.47492128 0.4741899
 0.69710483 0.94067998 0.69919394]"
