0	"[0.38946489 0.04913456 0.03395946 0.04876301 0.07112008 0.06145645
 0.37474243]"
1	"[0.20977415 0.02806195 0.04516313 0.1372938  0.40307566 0.41934754
 0.70964564]"
2	"[0.43003773 0.15389413 0.21082004 0.20435415 0.11922912 0.05982324
 0.36906807]"
3	"[0.39266917 0.04903105 0.03284953 0.04681676 0.07160046 0.06022355
 0.35549747]"
4	"[0.48064085 0.07552853 0.03842364 0.05050243 0.102865   0.06468037
 0.24029796]"
5	"[0.39219695 0.04623229 0.03022038 0.04231076 0.06435147 0.07151606
 0.42561855]"
6	"[0.61091574 0.09431183 0.0448631  0.03997198 0.1013192  0.05693496
 0.21817737]"
7	"[0.32150714 0.13649462 0.26590806 0.11250696 0.09126292 0.12920038
 0.49469845]"
8	"[0.38106645 0.04680385 0.03370216 0.04836307 0.06642858 0.0634219
 0.40165355]"
9	"[0.29857582 0.03431519 0.03278229 0.03878869 0.05919682 0.09157535
 0.50083925]"
